-4.26302 92.3559 0 
-4.16713 92.2903 0 
-4.07124 93.2296 9.04447e-05 
-3.97535 94.5232 0.00154129 
-3.87946 95.5403 0.00480327 
-3.78357 96.2904 0.00924437 
-3.68768 96.8865 0.0164034 
-3.59179 96.8603 0.0317118 
-3.4959 97.1435 0.05781 
-3.40001 97.0385 0.103474 
-3.30412 96.7344 0.173416 
-3.20823 96.5673 0.292551 
-3.11234 96.2057 0.448688 
-3.01645 95.444 0.654262 
-2.92056 94.1071 0.91982 
-2.82467 93.182 1.22397 
-2.72878 91.4951 1.5699 
-2.63289 89.4641 1.86282 
-2.537 87.2402 2.15414 
-2.44111 84.522 2.42015 
-2.34522 81.4477 2.60236 
-2.24933 78.0466 2.72541 
-2.15344 73.7776 2.75977 
-2.05755 69.1128 2.75812 
-1.96166 64.1641 2.77036 
-1.86577 58.7415 2.89793 
-1.76988 52.9784 3.14999 
-1.67399 47.3615 3.72776 
-1.5781 41.864 4.669 
-1.48221 36.5981 6.17335 
-1.38632 31.4938 8.1616 
-1.29043 26.2987 10.7994 
-1.19454 21.2969 13.9987 
-1.09865 16.4528 17.6574 
-1.00277 11.8737 21.6636 
-0.90688 8.12535 25.3217 
-0.81099 5.13771 28.5557 
-0.7151 2.97961 30.8655 
-0.61921 1.55571 32.1505 
-0.52332 0.714877 32.542 
-0.42743 0.314716 32.0402 
-0.33154 0.116993 31.0512 
-0.23565 0.0437706 29.8761 
-0.13976 0.0144139 28.391 
-0.04387 0.003352 27.068 
0.05202 0.00117745 25.9568 
0.14791 0.00135927 25.429 
0.2438 0.00253905 25.52 
0.33969 0.00389834 26.2924 
0.43558 0.00916101 27.4285 
0.53147 0.0201298 28.7813 
0.62736 0.050403 30.2744 
0.72325 0.148535 31.2806 
0.81914 0.374049 32.0324 
0.91503 0.826771 31.9749 
1.01092 1.70861 31.4765 
1.10681 3.08727 29.8935 
1.2027 5.16914 27.5616 
1.29859 8.16648 24.4293 
1.39448 11.7363 20.9522 
1.49037 16.0323 17.2868 
1.58626 20.8646 13.9313 
1.68215 25.8288 10.8236 
1.77804 31.2282 8.23781 
1.87393 36.8293 6.19769 
1.96982 42.3943 4.66897 
2.06571 48.1967 3.6441 
2.1616 53.8447 3.06316 
2.25749 59.2784 2.7826 
2.35338 64.3861 2.73029 
2.44927 69.1367 2.78335 
2.54516 73.4475 2.84465 
2.64105 77.2571 2.91318 
2.73694 80.9169 2.90762 
2.83283 83.847 2.73649 
2.92872 86.5554 2.45472 
3.02461 88.876 2.1022 
3.1205 91.1893 1.70342 
3.21639 92.8895 1.34117 
3.31228 94.2441 0.991729 
3.40817 95.1137 0.73766 
3.50406 95.8736 0.514707 
3.59995 96.1124 0.348364 
3.69584 96.7948 0.220417 
3.79173 96.9081 0.143594 
3.88762 96.8993 0.0823587 
3.98351 97.1918 0.0488375 
4.0794 96.9009 0.026634 
4.17529 97.0212 0.0122324 
4.27118 97.0098 0.00434828 
4.36707 97.147 0.00217419 
4.46296 96.999 0.00108618 
4.55885 97.1311 0 
4.65474 97.1165 0 
4.75063 96.8665 0 
4.84652 96.8025 0 
4.94241 96.2868 0 
5.0383 95.0293 0 
5.13419 93.7722 0 
5.23008 92.7608 0 
